SubscriptionName,SubscriptionGuid,Date,ResourceGuid,ServiceName,ServiceType,ServiceRegion,ServiceResource,Quantity,Cost
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/12/2020","{FD7CFA1E-026E-4BE1-871B-1C2386E8902E}","Storage","Tiered Block Blob","All","Hot Read Operations - Free","0.0003","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/13/2020","{0B248445-AA24-4FE8-A794-A174929327BD}","Storage","Tiered Block Blob","US East","All Other Operations","0.0001","0.0000004"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/13/2020","{0FC067A1-65D2-46DA-B24B-7A9CBE2C69BD}","Bandwidth","All","All","Data Transfer Out - Free","0.000201","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/13/2020","{32C3EBEC-1646-49E3-8127-2CAFBD3A04D8}","Bandwidth","All","All","Data Transfer In","0.000949","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/13/2020","{4082FA20-19D0-4388-B91E-A8150BC6AD4D}","Storage","Bandwidth","US East","Geo-Replication Data transfer","0.001602","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/13/2020","{6357FB28-1FC6-4000-B185-83B0DFBE9045}","Azure App Service","Standard Plan - Linux","US South Central","S1","24","1.92"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/13/2020","{6C76DAF0-AEB1-4238-B8B4-18820C91EEEF}","Storage","Tables","All","RA-GRS Data Stored","0.000216","0.0000162"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/13/2020","{7B5C8556-24E2-42BC-8F46-DA45AC53AEE4}","Storage","Tiered Block Blob","US East","Hot GRS Write Operations","0.0282","0.00282"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/13/2020","{984C39D8-2499-4233-8A97-FB002A809F8F}","Container Registry","All","All","Standard Registry Unit","1.000008","0.6666053328"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/13/2020","{A4D4F647-F54E-400B-A11A-DCF256AFA091}","Storage","Bandwidth","US East","Geo-Replication v2 Data transfer","0.000157","0.00000314"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/13/2020","{A90AEC9F-EECB-42C7-8421-9B96716996DC}","Azure App Service","Free Plan - Linux","All","F1","0.032256","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/13/2020","{BB20DFDA-6D18-4BB1-B7FC-86A05D9CFB8D}","Storage","Tables","All","GRS Batch Write Operations","0.029","0.00001044"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/14/2020","{0FC067A1-65D2-46DA-B24B-7A9CBE2C69BD}","Bandwidth","All","All","Data Transfer Out - Free","0.00012","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/14/2020","{32C3EBEC-1646-49E3-8127-2CAFBD3A04D8}","Bandwidth","All","All","Data Transfer In","0.000792","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/14/2020","{4082FA20-19D0-4388-B91E-A8150BC6AD4D}","Storage","Bandwidth","US East","Geo-Replication Data transfer","0.001596","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/14/2020","{6357FB28-1FC6-4000-B185-83B0DFBE9045}","Azure App Service","Standard Plan - Linux","US South Central","S1","24","1.92"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/14/2020","{6C76DAF0-AEB1-4238-B8B4-18820C91EEEF}","Storage","Tables","All","RA-GRS Data Stored","0.000216","0.0000162"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/14/2020","{984C39D8-2499-4233-8A97-FB002A809F8F}","Container Registry","All","All","Standard Registry Unit","1.000008","0.6666053328"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/14/2020","{A90AEC9F-EECB-42C7-8421-9B96716996DC}","Azure App Service","Free Plan - Linux","All","F1","0.032256","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/14/2020","{BB20DFDA-6D18-4BB1-B7FC-86A05D9CFB8D}","Storage","Tables","All","GRS Batch Write Operations","0.0296","0.000010656"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/15/2020","{0FC067A1-65D2-46DA-B24B-7A9CBE2C69BD}","Bandwidth","All","All","Data Transfer Out - Free","0.00012","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/15/2020","{32C3EBEC-1646-49E3-8127-2CAFBD3A04D8}","Bandwidth","All","Zone 1","Data Transfer In","0.000792","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/15/2020","{4082FA20-19D0-4388-B91E-A8150BC6AD4D}","Storage","Bandwidth","US East","Geo-Replication Data transfer","0.001563","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/15/2020","{6357FB28-1FC6-4000-B185-83B0DFBE9045}","Azure App Service","Standard Plan - Linux","US South Central","S1","24","1.92"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/15/2020","{6C76DAF0-AEB1-4238-B8B4-18820C91EEEF}","Storage","Tables","All","RA-GRS Data Stored","0.000199","0.000014925"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/15/2020","{984C39D8-2499-4233-8A97-FB002A809F8F}","Container Registry","All","All","Standard Registry Unit","1.000008","0.6666053328"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/15/2020","{A90AEC9F-EECB-42C7-8421-9B96716996DC}","Azure App Service","Free Plan - Linux","All","F1","0.032256","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/15/2020","{BB20DFDA-6D18-4BB1-B7FC-86A05D9CFB8D}","Storage","Tables","All","GRS Batch Write Operations","0.029","0.00001044"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/16/2020","{0B248445-AA24-4FE8-A794-A174929327BD}","Storage","Tiered Block Blob","US East","All Other Operations","0.0003","0.0000012"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/16/2020","{0FC067A1-65D2-46DA-B24B-7A9CBE2C69BD}","Bandwidth","All","All","Data Transfer Out - Free","0.00025","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/16/2020","{32C3EBEC-1646-49E3-8127-2CAFBD3A04D8}","Bandwidth","All","All","Data Transfer In","0.001005","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/16/2020","{4082FA20-19D0-4388-B91E-A8150BC6AD4D}","Storage","Bandwidth","US East","Geo-Replication Data transfer","0.001621","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/16/2020","{6357FB28-1FC6-4000-B185-83B0DFBE9045}","Azure App Service","Standard Plan - Linux","US South Central","S1","24","1.92"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/16/2020","{6C76DAF0-AEB1-4238-B8B4-18820C91EEEF}","Storage","Tables","All","RA-GRS Data Stored","0.000192","0.0000144"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/16/2020","{7B5C8556-24E2-42BC-8F46-DA45AC53AEE4}","Storage","Tiered Block Blob","US East","Hot GRS Write Operations","0.0373","0.00373"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/16/2020","{984C39D8-2499-4233-8A97-FB002A809F8F}","Container Registry","All","All","Standard Registry Unit","1.000008","0.6666053328"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/16/2020","{A4D4F647-F54E-400B-A11A-DCF256AFA091}","Storage","Bandwidth","US East","Geo-Replication v2 Data transfer","0.000208","0.00000416"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/16/2020","{A90AEC9F-EECB-42C7-8421-9B96716996DC}","Azure App Service","Free Plan - Linux","All","F1","0.032256","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/16/2020","{BB20DFDA-6D18-4BB1-B7FC-86A05D9CFB8D}","Storage","Tables","All","GRS Batch Write Operations","0.029","0.00001044"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/16/2020","{FD7CFA1E-026E-4BE1-871B-1C2386E8902E}","Storage","Tiered Block Blob","All","Hot Read Operations - Free","0.0001","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/17/2020","{0B248445-AA24-4FE8-A794-A174929327BD}","Storage","Tiered Block Blob","US East","All Other Operations","0.0001","0.0000004"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/17/2020","{0FC067A1-65D2-46DA-B24B-7A9CBE2C69BD}","Bandwidth","All","All","Data Transfer Out - Free","0.000171","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/17/2020","{32C3EBEC-1646-49E3-8127-2CAFBD3A04D8}","Bandwidth","All","All","Data Transfer In","0.00089","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/17/2020","{4082FA20-19D0-4388-B91E-A8150BC6AD4D}","Storage","Bandwidth","US East","Geo-Replication Data transfer","0.001592","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/17/2020","{6357FB28-1FC6-4000-B185-83B0DFBE9045}","Azure App Service","Standard Plan - Linux","US South Central","S1","24","1.92"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/17/2020","{6C76DAF0-AEB1-4238-B8B4-18820C91EEEF}","Storage","Tables","All","RA-GRS Data Stored","0.000192","0.0000144"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/17/2020","{7B5C8556-24E2-42BC-8F46-DA45AC53AEE4}","Storage","Tiered Block Blob","US East","Hot GRS Write Operations","0.0174","0.00174"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/17/2020","{984C39D8-2499-4233-8A97-FB002A809F8F}","Container Registry","All","All","Standard Registry Unit","1.000008","0.6666053328"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/17/2020","{A4D4F647-F54E-400B-A11A-DCF256AFA091}","Storage","Bandwidth","US East","Geo-Replication v2 Data transfer","9.8E-05","0.00000196"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/17/2020","{A90AEC9F-EECB-42C7-8421-9B96716996DC}","Azure App Service","Free Plan - Linux","All","F1","0.032256","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/17/2020","{BB20DFDA-6D18-4BB1-B7FC-86A05D9CFB8D}","Storage","Tables","All","GRS Batch Write Operations","0.029","0.00001044"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/18/2020","{0B248445-AA24-4FE8-A794-A174929327BD}","Storage","Tiered Block Blob","US East","All Other Operations","0.0001","0.0000004"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/18/2020","{0FC067A1-65D2-46DA-B24B-7A9CBE2C69BD}","Bandwidth","All","All","Data Transfer Out - Free","0.000132","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/18/2020","{32C3EBEC-1646-49E3-8127-2CAFBD3A04D8}","Bandwidth","All","All","Data Transfer In","0.000814","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/18/2020","{4082FA20-19D0-4388-B91E-A8150BC6AD4D}","Storage","Bandwidth","US East","Geo-Replication Data transfer","0.001577","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/18/2020","{6357FB28-1FC6-4000-B185-83B0DFBE9045}","Azure App Service","Standard Plan - Linux","US South Central","S1","24","1.92"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/18/2020","{6C76DAF0-AEB1-4238-B8B4-18820C91EEEF}","Storage","Tables","All","RA-GRS Data Stored","0.000212","0.0000159"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/18/2020","{7B5C8556-24E2-42BC-8F46-DA45AC53AEE4}","Storage","Tiered Block Blob","US East","Hot GRS Write Operations","0.004","0.0004"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/18/2020","{984C39D8-2499-4233-8A97-FB002A809F8F}","Container Registry","All","All","Standard Registry Unit","1.000008","0.6666053328"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/18/2020","{A4D4F647-F54E-400B-A11A-DCF256AFA091}","Storage","Bandwidth","US East","Geo-Replication v2 Data transfer","2.2E-05","0.00000044"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/18/2020","{A90AEC9F-EECB-42C7-8421-9B96716996DC}","Azure App Service","Free Plan - Linux","All","F1","0.032256","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/18/2020","{BB20DFDA-6D18-4BB1-B7FC-86A05D9CFB8D}","Storage","Tables","All","GRS Batch Write Operations","0.029","0.00001044"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/19/2020","{0FC067A1-65D2-46DA-B24B-7A9CBE2C69BD}","Bandwidth","All","All","Data Transfer Out - Free","0.000138","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/19/2020","{32C3EBEC-1646-49E3-8127-2CAFBD3A04D8}","Bandwidth","All","All","Data Transfer In","0.000827","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/19/2020","{4082FA20-19D0-4388-B91E-A8150BC6AD4D}","Storage","Bandwidth","US East","Geo-Replication Data transfer","0.001573","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/19/2020","{6357FB28-1FC6-4000-B185-83B0DFBE9045}","Azure App Service","Standard Plan - Linux","US South Central","S1","24","1.92"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/19/2020","{6C76DAF0-AEB1-4238-B8B4-18820C91EEEF}","Storage","Tables","All","RA-GRS Data Stored","0.000216","0.0000162"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/19/2020","{7B5C8556-24E2-42BC-8F46-DA45AC53AEE4}","Storage","Tiered Block Blob","US East","Hot GRS Write Operations","0.0062","0.00062"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/19/2020","{984C39D8-2499-4233-8A97-FB002A809F8F}","Container Registry","All","All","Standard Registry Unit","1.000008","0.6666053328"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/19/2020","{A4D4F647-F54E-400B-A11A-DCF256AFA091}","Storage","Bandwidth","US East","Geo-Replication v2 Data transfer","3.5E-05","0.0000007"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/19/2020","{A90AEC9F-EECB-42C7-8421-9B96716996DC}","Azure App Service","Free Plan - Linux","All","F1","0.032256","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/19/2020","{BB20DFDA-6D18-4BB1-B7FC-86A05D9CFB8D}","Storage","Tables","All","GRS Batch Write Operations","0.029","0.00001044"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/20/2020","{0B248445-AA24-4FE8-A794-A174929327BD}","Storage","Tiered Block Blob","US East","All Other Operations","0.0001","0.0000004"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/20/2020","{0FC067A1-65D2-46DA-B24B-7A9CBE2C69BD}","Bandwidth","All","All","Data Transfer Out - Free","0.000157","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/20/2020","{32C3EBEC-1646-49E3-8127-2CAFBD3A04D8}","Bandwidth","All","All","Data Transfer In","0.000864","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/20/2020","{4082FA20-19D0-4388-B91E-A8150BC6AD4D}","Storage","Bandwidth","US East","Geo-Replication Data transfer","0.00161","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/20/2020","{6357FB28-1FC6-4000-B185-83B0DFBE9045}","Azure App Service","Standard Plan - Linux","US South Central","S1","24","1.92"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/20/2020","{6C76DAF0-AEB1-4238-B8B4-18820C91EEEF}","Storage","Tables","All","RA-GRS Data Stored","0.000216","0.0000162"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/20/2020","{7B5C8556-24E2-42BC-8F46-DA45AC53AEE4}","Storage","Tiered Block Blob","US East","Hot GRS Write Operations","0.0128","0.00128"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/20/2020","{984C39D8-2499-4233-8A97-FB002A809F8F}","Container Registry","All","All","Standard Registry Unit","1.000008","0.6666053328"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/20/2020","{A4D4F647-F54E-400B-A11A-DCF256AFA091}","Storage","Bandwidth","US East","Geo-Replication v2 Data transfer","7.2E-05","0.00000144"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/20/2020","{A90AEC9F-EECB-42C7-8421-9B96716996DC}","Azure App Service","Free Plan - Linux","All","F1","0.032256","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/20/2020","{BB20DFDA-6D18-4BB1-B7FC-86A05D9CFB8D}","Storage","Tables","All","GRS Batch Write Operations","0.0296","0.000010656"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/21/2020","{0B248445-AA24-4FE8-A794-A174929327BD}","Storage","Tiered Block Blob","US East","All Other Operations","0.0001","0.0000004"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/21/2020","{0FC067A1-65D2-46DA-B24B-7A9CBE2C69BD}","Bandwidth","All","All","Data Transfer Out - Free","0.000192","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/21/2020","{32C3EBEC-1646-49E3-8127-2CAFBD3A04D8}","Bandwidth","All","All","Data Transfer In","0.000887","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/21/2020","{4082FA20-19D0-4388-B91E-A8150BC6AD4D}","Storage","Bandwidth","US East","Geo-Replication Data transfer","0.001537","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/21/2020","{6357FB28-1FC6-4000-B185-83B0DFBE9045}","Azure App Service","Standard Plan - Linux","US South Central","S1","21","1.68"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/21/2020","{6C76DAF0-AEB1-4238-B8B4-18820C91EEEF}","Storage","Tables","All","RA-GRS Data Stored","0.000198","0.00001485"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/21/2020","{7B5C8556-24E2-42BC-8F46-DA45AC53AEE4}","Storage","Tiered Block Blob","US East","Hot GRS Write Operations","0.0297","0.00297"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/21/2020","{984C39D8-2499-4233-8A97-FB002A809F8F}","Container Registry","All","All","Standard Registry Unit","0.916674","0.6110548884"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/21/2020","{A4D4F647-F54E-400B-A11A-DCF256AFA091}","Storage","Bandwidth","US East","Geo-Replication v2 Data transfer","0.000161","0.00000322"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/21/2020","{A90AEC9F-EECB-42C7-8421-9B96716996DC}","Azure App Service","Free Plan - Linux","All","F1","0.028224","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/21/2020","{BB20DFDA-6D18-4BB1-B7FC-86A05D9CFB8D}","Storage","Tables","All","GRS Batch Write Operations","0.0278","0.000010008"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/22/2020","{0B248445-AA24-4FE8-A794-A174929327BD}","Storage","Tiered Block Blob","US East","All Other Operations","0.0002","0.0000008"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/22/2020","{0FC067A1-65D2-46DA-B24B-7A9CBE2C69BD}","Bandwidth","All","All","Data Transfer Out - Free","0.000137","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/22/2020","{32C3EBEC-1646-49E3-8127-2CAFBD3A04D8}","Bandwidth","All","All","Data Transfer In","0.000707","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/22/2020","{4082FA20-19D0-4388-B91E-A8150BC6AD4D}","Storage","Bandwidth","US East","Geo-Replication Data transfer","0.001392","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/22/2020","{6357FB28-1FC6-4000-B185-83B0DFBE9045}","Azure App Service","Standard Plan - Linux","US South Central","S1","20","1.6"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/22/2020","{6C76DAF0-AEB1-4238-B8B4-18820C91EEEF}","Storage","Tables","All","RA-GRS Data Stored","0.000189","0.000014175"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/22/2020","{7B5C8556-24E2-42BC-8F46-DA45AC53AEE4}","Storage","Tiered Block Blob","US East","Hot GRS Write Operations","0.0019","0.00019"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/22/2020","{984C39D8-2499-4233-8A97-FB002A809F8F}","Container Registry","All","All","Standard Registry Unit","0.83334","0.555504444"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/22/2020","{A4D4F647-F54E-400B-A11A-DCF256AFA091}","Storage","Bandwidth","US East","Geo-Replication v2 Data transfer","9E-06","0.00000018"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/22/2020","{A90AEC9F-EECB-42C7-8421-9B96716996DC}","Azure App Service","Free Plan - Linux","All","F1","0.02688","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/22/2020","{BB20DFDA-6D18-4BB1-B7FC-86A05D9CFB8D}","Storage","Tables","All","GRS Batch Write Operations","0.0254","0.000009144"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","10/22/2020","{FD7CFA1E-026E-4BE1-871B-1C2386E8902E}","Storage","Tiered Block Blob","All","Hot Read Operations - Free","0.0001","0"
